date,description,amount
2025-09-01,Netflix.com UHD Plan,649.00
2025-09-01,Apple iCloud Storage 200GB,219.00
2025-09-01,OpenAI ChatGPT Plus,1999.00
2025-09-02,Amazon Prime Monthly Subscription,299.00
2025-09-03,Cult.fit Bangalore Gym Pass,999.00
2025-09-03,Calm.com Meditation App,499.00
2025-09-03,Spotify India Premium Family,119.00
2025-09-03,Shell Fuel Station,1764.32
2025-09-05,Zomato Delivery Gurgaon,211.53
2025-09-06,Blinkit Instant Groceries,1070.37
2025-09-08,Swiggy Order #98213,541.89
2025-09-09,Apollo Pharmacy Medicine,180.68
2025-09-11,Broadband ACT Fibernet,1150.00
2025-09-13,Electricity BESCOM Bill,1430.75
2025-09-14,Swiggy Order #98213,514.51
2025-09-16,Zomato Delivery Gurgaon,470.81
2025-09-17,Apollo Pharmacy Medicine,334.04
2025-09-19,Uber India Ride,253.27
2025-09-20,Broadband ACT Fibernet,1150.00
2025-09-21,Electricity BESCOM Bill,1961.97
2025-09-22,Uber India Ride,286.41
2025-09-24,Broadband ACT Fibernet,1150.00
2025-09-25,Broadband ACT Fibernet,1150.00
2025-09-26,Starbucks Coffee Indiranagar,533.67
2025-09-28,Apollo Pharmacy Medicine,326.16
2025-09-29,Electricity BESCOM Bill,2251.64
2025-10-01,Cult.fit Bangalore Gym Pass,999.00
2025-10-01,Netflix.com UHD Plan,649.00
2025-10-01,Calm.com Meditation App,499.00
2025-10-01,Apple iCloud Storage 200GB,219.00
2025-10-01,Spotify India Premium Family,119.00
2025-10-01,Amazon Prime Monthly Subscription,299.00
2025-10-01,OpenAI ChatGPT Plus,1999.00
2025-10-01,Starbucks Coffee Indiranagar,490.41
2025-10-03,Broadband ACT Fibernet,1150.00
2025-10-05,Uber India Ride,208.79
2025-10-07,Airtel Prepaid Recharge,404.23
2025-10-09,Blinkit Instant Groceries,536.42
2025-10-10,Blue Tokai Roasters,343.64
2025-10-11,Zomato Delivery Gurgaon,231.97
2025-10-12,Broadband ACT Fibernet,1150.00
2025-10-13,Apollo Pharmacy Medicine,413.85
2025-10-15,Blue Tokai Roasters,292.80
2025-10-16,Broadband ACT Fibernet,1150.00
